MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"14,179",2012
110002 ARIQUEMES,,"71,703",2012
110003 CABIXI,,"3,173",2012
110004 CACOAL,,"51,161",2012
110005 CEREJEIRAS,,"10,796",2012
110006 COLORADO DO OESTE,,"9,944",2012
110007 CORUMBIARA,,"4,980",2012
110008 COSTA MARQUES,,"6,558",2012
110009 ESPIGAO D\'OESTE,,"18,591",2012
110010 GUAJARA-MIRIM,,"41,487",2012
110011 JARU,,"32,010",2012
110012 JI-PARANA,,"72,534",2012
110013 MACHADINHO D\'OESTE,,"21,815",2012
110014 NOVA BRASILANDIA D\'OESTE,,"8,933",2012
110015 OURO PRETO DO OESTE,,"22,459",2012
110018 PIMENTA BUENO,,"22,387",2012
110020 PORTO VELHO,,"402,921",2012
110025 PRESIDENTE MEDICI,,"9,901",2012
110026 RIO CRESPO,,"1,683",2012
110028 ROLIM DE MOURA,,"33,410",2012
110029 SANTA LUZIA D\'OESTE,,"4,004",2012
110030 VILHENA,,"49,536",2012
110032 SAO MIGUEL DO GUAPORE,,"13,087",2012
110033 NOVA MAMORE,,"15,413",2012
110034 ALVORADA D\'OESTE,,"10,499",2012
110037 ALTO ALEGRE DOS PARECIS,,"7,361",2012
110040 ALTO PARAISO,,"12,163",2012
110045 BURITIS,,"26,831",2012
110050 NOVO HORIZONTE DO OESTE,,"4,811",2012
110060 CACAULANDIA,,"2,814",2012
110070 CAMPO NOVO DE RONDONIA,,"4,406",2012
110080 CANDEIAS DO JAMARI,,"16,936",2012
110090 CASTANHEIRAS,,"1,533",2012
110092 CHUPINGUAIA,,"6,768",2012
110094 CUJUBIM,,"10,926",2012
110100 GOVERNADOR JORGE TEIXEIRA,,"6,165",2012
110110 ITAPUA DO OESTE,,"8,972",2012
110120 MINISTRO ANDREAZZA,,"4,353",2012
110130 MIRANTE DA SERRA,,"7,682",2012
110140 MONTE NEGRO,,"8,897",2012
110143 NOVA UNIAO,,"3,724",2012
110145 PARECIS,,"2,567",2012
110146 PIMENTEIRAS DO OESTE,,"1,188",2012
110147 PRIMAVERA DE RONDONIA,,"2,044",2012
110148 SAO FELIPE D\'OESTE,,"2,921",2012
110149 SAO FRANCISCO DO GUAPORE,,"9,563",2012
110150 SERINGUEIRAS,,"6,455",2012
110155 TEIXEIROPOLIS,,"2,592",2012
110160 THEOBROMA,,"3,702",2012
110170 URUPA,,"6,840",2012
110175 VALE DO ANARI,,"3,841",2012
110180 VALE DO PARAISO,,"3,408",2012
120001 ACRELANDIA,,"9,660",2012
120005 ASSIS BRASIL,,"8,568",2012
120010 BRASILEIA,,"17,095",2012
120013 BUJARI,,"5,862",2012
120017 CAPIXABA,,"5,708",2012
120020 CRUZEIRO DO SUL,,"83,102",2012
120025 EPITACIOLANDIA,,"9,510",2012
120030 FEIJO,,"27,198",2012
120032 JORDAO,,"8,458",2012
120033 MANCIO LIMA,,"12,729",2012
120034 MANOEL URBANO,,"6,467",2012
120035 MARECHAL THAUMATURGO,,"19,645",2012
120038 PLACIDO DE CASTRO,,"14,255",2012
120039 PORTO WALTER,,"6,948",2012
120040 RIO BRANCO,,"293,736",2012
120042 RODRIGUES ALVES,,"10,301",2012
120043 SANTA ROSA DO PURUS,,"9,008",2012
120045 SENADOR GUIOMARD,,"14,021",2012
120050 SENA MADUREIRA,,"30,971",2012
120060 TARAUACA,,"37,897",2012
120070 XAPURI,,"11,960",2012
120080 PORTO ACRE,,"9,042",2012
130002 ALVARAES,,"13,140",2012
130006 AMATURA,,"12,118",2012
130008 ANAMA,,"8,188",2012
130010 ANORI,,"8,321",2012
130014 APUI,,"7,764",2012
130020 ATALAIA DO NORTE,,"12,618",2012
